recency,T,frequency,monetary
52.142857142857146,52.42857142857143,7,473.53285714285715
15.571428571428571,51.142857142857146,3,30.066666666666666
37.142857142857146,42.42857142857143,7,161.56285714285715
11.428571428571429,46.57142857142857,2,543.28
21.285714285714285,21.571428571428573,2,439.11
39.142857142857146,47.42857142857143,4,806.0325
21.142857142857142,28.714285714285715,3,614.3866666666667
41.714285714285715,42.285714285714285,10,409.89399999999995
18.857142857142858,34.57142857142857,2,242.25
14.857142857142858,16.0,3,368.76
44.142857142857146,51.42857142857143,4,650.6025
32.0,42.42857142857143,3,312.78000000000003
12.428571428571429,14.0,2,141.65
5.571428571428571,50.714285714285715,2,736.26
12.571428571428571,24.285714285714285,2,368.22
23.428571428571427,26.571428571428573,4,434.5625
16.428571428571427,17.142857142857142,3,414.32
23.857142857142858,50.285714285714285,5,242.368
13.142857142857142,17.428571428571427,2,143.16
44.42857142857143,46.714285714285715,6,411.11666666666673
37.142857142857146,47.57142857142857,4,298.375
50.142857142857146,53.0,12,153.71416666666667
14.142857142857142,19.285714285714285,2,860.005
20.285714285714285,37.42857142857143,4,182.2875
23.0,26.285714285714285,2,1435.89
30.571428571428573,37.714285714285715,5,217.002
32.42857142857143,37.142857142857146,5,373.894
14.714285714285714,26.142857142857142,3,548.93
13.428571428571429,24.142857142857142,3,371.68
38.57142857142857,48.142857142857146,3,181.73333333333335
13.285714285714286,44.285714285714285,3,114.55
44.57142857142857,48.285714285714285,11,341.46
50.57142857142857,51.142857142857146,9,239.08333333333334
43.285714285714285,45.57142857142857,4,151.8925
32.714285714285715,46.42857142857143,3,215.10333333333335
50.285714285714285,50.57142857142857,8,191.95125
0.0,23.285714285714285,2,351.86
49.857142857142854,53.142857142857146,3,141.87333333333333
36.714285714285715,40.57142857142857,8,603.80375
50.857142857142854,52.285714285714285,4,578.26
44.714285714285715,53.42857142857143,13,302.58076923076925
18.428571428571427,24.571428571428573,4,477.42
53.142857142857146,53.285714285714285,7,1135.3385714285714
25.0,37.142857142857146,2,312.42
47.0,47.285714285714285,18,153.36333333333334
17.857142857142858,20.0,2,876.5600000000001
21.285714285714285,24.428571428571427,5,476.512
23.428571428571427,26.714285714285715,4,683.46
2.4285714285714284,24.714285714285715,2,65.94
44.714285714285715,46.42857142857143,5,1175.662
31.857142857142858,42.42857142857143,5,240.372
30.0,36.42857142857143,3,554.4133333333333
21.714285714285715,34.142857142857146,2,479.465
30.428571428571427,40.714285714285715,2,306.19
40.57142857142857,43.285714285714285,2,328.9
26.857142857142858,34.57142857142857,4,288.845
22.714285714285715,44.142857142857146,4,19.125
21.714285714285715,24.142857142857142,2,310.745
18.285714285714285,45.142857142857146,2,287.995
51.714285714285715,52.142857142857146,26,336.1069230769231
48.0,52.714285714285715,7,721.7185714285714
19.714285714285715,27.428571428571427,3,743.15
44.57142857142857,47.142857142857146,18,342.60555555555555
49.285714285714285,51.57142857142857,10,353.08299999999997
39.714285714285715,43.142857142857146,6,1176.2233333333334
43.857142857142854,48.0,4,566.735
48.857142857142854,52.285714285714285,10,346.21999999999997
46.0,48.42857142857143,7,212.36285714285714
43.0,48.0,4,834.245
9.285714285714286,10.857142857142858,3,317.3866666666667
46.285714285714285,47.142857142857146,10,422.71099999999996
6.0,15.0,2,113.605
4.428571428571429,28.142857142857142,2,166.455
49.857142857142854,52.285714285714285,7,135.96428571428572
5.142857142857143,8.285714285714286,3,116.56666666666668
35.0,42.285714285714285,7,71.12714285714286
30.571428571428573,44.285714285714285,5,302.264
20.428571428571427,42.714285714285715,2,194.375
0.2857142857142857,4.142857142857143,2,199.135
26.0,46.42857142857143,2,310.025
0.0,9.428571428571429,2,65.03999999999999
14.571428571428571,25.857142857142858,2,135.24
23.0,27.142857142857142,4,549.5225
15.571428571428571,15.714285714285714,5,350.018
27.714285714285715,39.142857142857146,5,412.312
1.7142857142857142,7.285714285714286,2,76.36
44.57142857142857,47.42857142857143,11,116.17363636363638
46.285714285714285,47.714285714285715,8,214.90125
13.285714285714286,13.428571428571429,3,358.15333333333336
34.714285714285715,46.57142857142857,3,98.90333333333335
43.285714285714285,44.714285714285715,6,186.93833333333336
39.57142857142857,48.142857142857146,4,262.855
13.428571428571429,26.714285714285715,2,288.925
44.42857142857143,47.714285714285715,4,1035.4
48.857142857142854,51.714285714285715,17,468.68470588235294
35.857142857142854,40.142857142857146,3,240.46
26.285714285714285,37.142857142857146,2,349.4
4.428571428571429,11.142857142857142,2,484.79
11.714285714285714,40.142857142857146,2,75.89999999999999
45.857142857142854,47.142857142857146,10,293.37
14.285714285714286,21.571428571428573,2,258.905
19.571428571428573,20.428571428571427,2,873.08
27.142857142857142,28.428571428571427,7,385.96285714285716
49.42857142857143,52.857142857142854,10,667.358
35.714285714285715,36.0,28,96.59607142857143
11.571428571428571,17.428571428571427,2,244.685
6.142857142857143,7.428571428571429,2,325.435
38.285714285714285,43.57142857142857,5,245.06199999999998
46.142857142857146,51.285714285714285,3,190.21666666666667
44.0,47.142857142857146,2,1121.48
7.0,41.285714285714285,2,156.96
52.857142857142854,53.42857142857143,15,351.1926666666667
39.42857142857143,40.0,8,137.57500000000002
16.714285714285715,50.142857142857146,2,606.475
16.428571428571427,20.714285714285715,2,208.64
17.285714285714285,30.428571428571427,2,175.3
15.714285714285714,31.285714285714285,3,127.36666666666666
39.42857142857143,46.142857142857146,8,342.92875
27.142857142857142,34.57142857142857,2,144.135
35.42857142857143,38.285714285714285,4,636.0175
39.285714285714285,40.714285714285715,7,300.48999999999995
39.285714285714285,43.42857142857143,7,109.19714285714285
47.0,51.142857142857146,9,221.8022222222222
20.285714285714285,47.57142857142857,5,74.30199999999999
